Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
ADP,Automatic Data Processing,208,Professional Services,Roseland,New Jersey,Essex County,58000,4,4
SWK,Stanley Black & Decker,209,Industrial Tools,New Britain,Connecticut,Hartford County,60767,3.5,3.7
TXN,Texas Instruments,210,Hardware,Dallas ,Texas,Dallas County,29888,4.1,4.2
HAL,Halliburton,211,Energy,Houston,Texas,Harris County,55000,3.9,3.6
SYK,Stryker,212,Biotechnology,Kalamazoo,Michigan,Kalamazoo County,43000,3.9,4.2
EL,Estee Lauder Companies,213,Consumer Goods,New York City,New York,New York County,48000,4.1,4
CTVA,Corteva,214,Chemicals,Indianapolis,Indiana,Marion County,21000,3.6,4
FCX,Freeport-McMoRan,215,Metals,Phoenix,Arizona,Maricopa County,28000,4,4
QRTEA,Qurate Retail,216,Entertainment,Castle Rock,Colorado,Douglas County,28255,3.1,3.9
W,Wayfair,217,Ecommerce,Boston ,Massachusetts,Suffolk County,16900,3,3.4
LH,Laboratory Corp. of America,218,Healthcare,Burlington,North Carolina,Alamance County,72000,3.5,3.8
PPG,PPG Industries,220,Chemicals,Pittsburgh,Pennsylvania,Allegheny County,47300,3.4,3.4
GPS,Gap,221,Retail,San Francisco,California,San Francisco County,117000,3.8,3.7
K,Kellogg,222,Food,Battle Creek,Michigan,Calhoun County,34000,3.6,3.7
PH,Parker-Hannifin,223,Materials,Mayfield Heights,Ohio,Cuyahoga County,50520,3.7,3.6
J,Jacobs,225,Construction,Dallas ,Texas,Dallas County,55000,3.9,3.8
EIX,Edison International,226,Energy,Rosemead,California,Los Angeles County,12521,4.1,3.7
BIIB,Biogen,228,Biotechnology,Cambridge,Massachusetts,Middlesex County,9100,4,4.1
OMC,Omnicom Group,229,Advertising,New York City,New York,New York County,64100,3.8,3.8
UNM,Unum Group,230,Insurance,Chattanooga,Tennessee,Hamilton County,10700,3.5,3.6
LAD,Lithia Motors,231,Automotive Retailer,Medford,Oregon,Jackson County,14538,3.1,3.7
DFS,Discover Financial Services,233,Financial Services,Riverwoods,Illinois,Lake County,17600,3.8,3.9
ADBE,Adobe,234,Software,San Jose ,California,Santa Clara County,24000,4.3,4.4
ARMK,Aramark,235,Food,Philadelphia,Pennsylvania,Philadelphia County,215000,3.5,3.4
OTIS,Otis Worldwide,236,Trasport Systems Equipment,Farmington,Connecticut,Hartford County,69000,3.9,3.7
ECL,Ecolab,237,Chemicals,St. Paul,Minnesota,Ramsey County,50000,3.5,3.6
AZO ,AutoZone,238,Retail,Memphis ,Tennessee,Shelby County,87000,3.5,3.4
L,Loews,239,Conglomerate,New York City,New York,New York County,18100,4,4
ITW,Illinois Tool Works,240,Manufacturing,Glenview,Illinois,Cook County,43000,3.5,3.8
FIS,Fidelity National Information Services,241,Financial Services,Jacksonville,Florida,Duval County,70000,4,3.8
ROST,Ross Stores,242,Retail,Dublin,California,Alameda County,88100,3.4,3.3
EQH,Equitable Holdings,244,Financial Services,New York City,New York,New York County,4100,3.3,3.8
WCC,WESCO International,245,Maintenance,Pittsburgh,Pennsylvania,Allegheny County,18000,3.3,3.2
GT,Goodyear,246,Automotive,Akron,Ohio,Summit County,72000,3.7,3.7
FOXA,Fox,247,Media,New York City,New York,New York County,9000,4,3.9
LDOS,Leidos Holdings,248,Aerospace,Reston,Virginia,Fairfax County,42000,3.7,3.9
ED,Consolidated Edison,249,Energy,Manhattan,New York,New York County,14071,4.1,4.1
DTE,DTE Energy,250,Energy,Detroit,Michigan,Wayne County,10600,3.9,4.1
SCHW,Charles Schwab,251,Financial Services,Westlake,Texas,Tarrant County,32000,3.9,4
STT,State Street,252,Financial Services,Boston ,Massachusetts,Suffolk County,39439,3.5,3.4
AMP,Ameriprise Financial,253,Financial Services,Minneapolis,Minnesota,Hennepin County,12300,3.8,3.8
VTRS,Viatris,254,Pharmaceutical,Canonsburg,Pennsylvania,Washington County,45000,3.1,3.3
SRE,Sempra,255,Energy,San Diego,California,San Diego County,20000,4,4.4
BBWI,Bath & Body Works,257,Retail,Columbus,Ohio,Franklin County,94400,3.8,3.9
CYH,Community Health Systems,259,Healthcare,Franklin,Tennessee,Williamson County,120000,3.2,3.3
BLL,Ball,260,Packaging,Broomfield ,Colorado,Broomfield County,18300,3.6,3.8
BERY,Berry Global Group,261,Materials,Evansville,Indiana,Vanderburgh County,48000,3.3,3.5
KMI,Kinder Morgan,262,Energy,Houston,Texas,Harris County,11012,3.5,3.8
VFC,VF,263,Apparel,Denver,Colorado,Arapahoe County,50000,3.8,4
BAX,Baxter International,264,Medical Equipment,Deerfield,Illinois,Lake County,48000,3.8,3.8
TXT,Textron,265,Aerospace,Providence,Rhode Island,Providence County,35000,3.6,3.8
LKQ,LKQ,266,Automotive,Chicago,Illinois,Cook County,51000,3.1,3.4
KDP,Keurig Dr Pepper,267,Food,Burlington,Massachusetts,Middlesex County,25500,3.2,3.4
ORLY,O'Reilly Automotive,268,Automotive,Springfield,Missouri,Greene County,77654,3.4,3.3
CCK,Crown Holdings,269,Packaging,Philadelphia,Pennsylvania,Philadelphia County,33264,3.3,3.4
UHS,Universal Health Services,270,Healthcare,King of Prussia,Pennsylvania,Montgomery County,90000,3,3.1
DVA,DaVita,271,Healthcare,Denver,Colorado,Arapahoe County,67000,3.3,3.4
XEL,Xcel Energy,272,Energy,Minneapolis,Minnesota,Hennepin County,11075,3.6,3.8
NEM,Newmont,273,Metals,Greenwood Village,Colorado,Arapahoe County,14300,4,4.1
VST,Vistra,274,Energy,Irving,Texas,Dallas County,5365,3.7,4
IQV,IQVIA Holdings,275,Health Research,Danbury,Connecticut,Fairfield County,88000,3.8,3.9
EBAY,eBay,276,Ecommerce,San Jose ,California,Santa Clara County,13300,3.9,4.1
GLW,Corning,277,Materials,Corning,New York,Steuben County,51500,3,3.9
PWR,Quanta Services,278,Infrastructure Services,Houston,Texas,Harris County,40000,3.8,3.6
HFC,HollyFrontier,279,Energy,Dallas ,Texas,Dallas County,3891,3.7,3.7
BBBY,Bed Bath & Beyond,280,Retail,Springfield,New Jersey,Union County,55000,3.5,3.3
UBER,Uber Technologies,281,Delivery Service,San Francisco,California,San Francisco County,22800,3.7,4
CAG,Conagra Brands,283,Food,Chicago,Illinois,Cook County,16500,3.6,3.7
PHM,PulteGroup,284,Construction,Atlanta,Georgia,Cobb County,6000,3.8,4.2
EOG,EOG Resources,285,Energy: Petroleum,Houston,Texas,Harris County,2900,4,4
GPI,Group 1 Automotive,286,Car Dealearship,Houston,Texas,Harris County,14200,3,3.2
ALLY,Ally Financial,287,Financial Services,Detroit ,Michigan,Wayne County,8700,3.6,4.1
FNF,Fidelity National Financial,288,Financial Services,Jacksonville,Florida,Duval County,23100,3.7,3.8
JWN,Nordstrom,289,Retail,Seattle,Washington,King County,74000,3.9,3.7
DISCA,Discovery,290,Mass Media,New York City,New York,New York County,9800,3.8,4.1
TSCO,Tractor Supply,291,Retail,Brentwood,Tennessee,Williamson County,42000,3.4,3.7
CSX,CSX,292,Transportation,Jacksonville,Florida,Duval County,20908,3.2,2.6
