Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Topeka, KS",Kansas,2019,111.5,,5.4,8.1,16.7,1.3,7.5,12.8,19.2,8.8,4.8,26.9
"Trenton-Princeton, NJ",New Jersey,2019,281.3,,5.7,10.9,39,4.3,20.1,49.7,50.4,15.9,10.2,75.1
"Tucson, AZ",Arizona,2019,391.1,1.9,18,27.9,63.3,5.8,17.3,50.5,68.4,45.1,13.9,79
"Tulsa, OK",Oklahoma,2019,462.3,6.7,25.6,55.2,83.1,6.7,23.3,63,73.5,46.5,20.3,58.4
"Tuscaloosa, AL",Alabama,2019,113.3,,7,17.3,16.6,2,4.1,12.3,9.3,11.6,4.3,28.9
"Twin Falls, ID",Idaho,2019,47.2,,,,,,,,,,,6.5
"Tyler, TX",Texas,2019,107.9,,6.8,6.6,23.4,1.5,4.4,10.5,24.4,11.6,4.2,14.5
"Urban Honolulu, HI",Hawaii,2019,473.9,,27,11,87.9,7.4,23,57.3,65.6,76,21.7,97.1
"Utica-Rome, NY",New York,2019,128.6,,3.4,11.4,20.4,1,7.4,8.1,29.2,10.9,4.8,31.9
"Valdosta, GA",Georgia,2019,56.6,,,,12.8,,,,,,,13.2
"Vallejo, CA",California,2019,143.4,0.5,12.3,12.5,27,1.2,5.1,10.2,29,16.1,4.7,24.8
"Victoria, TX",Texas,2019,41.3,,4.3,2.1,10.8,0.3,1.7,2.5,6.2,4.4,1.8,7.2
"Vineland-Bridgeton, NJ",New Jersey,2019,59.3,,2.9,8.9,13.7,0.6,1.2,4.2,11.5,3.7,1.9,10.7
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,2019,797.5,,38.8,58.7,130.1,10.4,39.4,115,114.3,94.8,34.9,161
"Visalia, CA",California,2019,128.4,,6.4,12.9,27.7,0.7,4,11.4,17.1,12.1,3.5,32.7
"Waco, TX",Texas,2019,122.6,,7.7,15.8,21.5,1,7.4,12.2,20.9,12.8,3.6,19.8
"Walla Walla, WA",Washington,2019,28.3,,1.1,4.2,3.9,0.3,1,1,7.2,2.6,0.7,6.3
"Warner Robins, GA",Georgia,2019,78.1,,,,11.2,,,,,,,28.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2019,4145.2,,179.7,58,442.2,96.3,190.6,949.5,579.7,418.8,287.5,943.2
"Waterloo-Cedar Falls, IA",Iowa,2019,90.9,,,16.6,17.5,,4.9,6.6,14.7,7.8,,14
"Watertown-Fort Drum, NY",New York,2019,41.5,,1.8,2,8.3,0.6,1.3,2.2,7,4.5,2,11.9
"Wausau-Weston, WI",Wisconsin,2019,73.5,,2.7,18.7,13.6,0.4,5.4,6.2,9.9,6,3.2,7.5
"Weirton-Steubenville, WV-OH",Ohio,2019,40.7,,1.7,5.5,8.3,,,2.2,8.9,4.6,,6.5
"Wenatchee, WA",Washington,2019,46.3,,3,2.6,9.9,,,,7.6,6.9,,9.5
"Wheeling, WV-OH",West Virginia,2019,65.5,,,3,,,,,12.5,,,9.6
"Wichita, KS",Texas,2019,59.5,,3,5.3,10.7,0.7,2.6,4.7,11.2,6.7,2.3,12.5
"Wichita Falls, TX",Kansas,2019,306.1,,16.9,54.9,50.6,3.9,11.8,35.7,46.8,33.1,10.5,41.9
"Williamsport, PA",Pennsylvania,2019,53.3,,,8,10.1,,,,10.2,4.5,,7.1
"Wilmington, NC",North Carolina,2019,132.3,,9.2,6,26,3.2,6.1,16.6,15.7,20.5,4.8,24.1
"Winchester, VA-WV",Virginia,2019,65.9,,,,14.1,,,,,,,10.1
"Winston-Salem, NC",North Carolina,2019,272.1,,11.4,33.2,48.2,1.7,13.8,37.6,56.9,29.3,9.1,31.1
"Yakima, WA",Washington,2019,87.1,,4.2,8.7,19.1,,,4.4,18.2,8.3,,18.1
"York-Hanover, PA",Pennsylvania,2019,188.2,,12.1,32.1,38.2,1,5.3,24.1,29.2,16.3,10.2,19.8
"Youngstown-Warren-Boardman, OH-PA",Ohio,2019,216.7,,9.6,25.9,45.1,1.8,7.2,19.9,43.9,24.6,9.5,29.3
"Yuba City, CA",California,2019,46.3,,2.9,2.3,9.4,0.3,1.5,3.2,8.8,4.7,1.2,12
"Yuma, AZ",Arizona,2019,57.6,,3.1,2.6,11.8,0.5,2.1,6.7,8.3,6.3,1.7,14.6
"Bridgeport-Stamford-Norwalk, CT",Connecticut,2019,484.6,,12.8,28.8,84.5,12.2,37.5,75.9,76.8,51.4,17.8,53.8
"Boston-Cambridge-Newton, MA-NH",Massachusetts,2019,2876.3,,124.3,193.9,436.6,82.7,189.4,523.9,604.7,287.2,107,326.6
"Providence-Warwick, RI-MA",Rhode Island,2019,667.2,0.2,27.9,57.8,112.8,7.4,39.8,80.5,146.8,77.4,30.1,86.5
"New Haven-Milford, CT",Connecticut,2019,361.1,,14.2,31.6,65.5,5,14,35.7,103.2,31.9,14,46.1
"Worcester, MA-CT",Massachusetts,2019,344.1,,13.3,34.8,63.4,3.7,16.1,33.4,81.6,31.7,12.6,53.5
"Abilene, TX",Texas,2020,70.1,,4.7,3.2,13.2,1,4.3,6.3,15.2,7,2.5,12.7
"Akron, OH",Ohio,2020,319.1,,14.1,36.9,66.3,4.7,15.3,46.6,53.6,28,12,41.5
"Albany, GA",Oregon,2020,44.1,0.4,3,8,10.6,0.4,1.4,3,6.6,3.2,1.3,6.4
"Albany-Lebanon, OR",Georgia,2020,60,,,,12.2,,,,,,,11.9
"Albany-Schenectady-Troy, NY",New York,2020,437,,19.4,25.5,69.7,7.8,26,54.5,90.5,28.8,15.7,99.2
"Albuquerque, NM",New Mexico,2020,374.5,,24.5,15.6,60.2,5.2,18.9,61.3,63.7,35.1,10.9,79
"Alexandria, LA",Louisiana,2020,59.5,,,,10.8,,,,,,,13.5
"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,2020,353,,12.5,37.7,85.1,4.8,13.3,46.3,74.7,28.3,12.3,38
"Altoona, PA",Pennsylvania,2020,57.5,,2.9,6.7,13.6,0.8,1.4,4.8,12.7,4.4,2.5,7.8
"Amarillo, TX",Texas,2020,118.3,,7.6,13.9,25.3,1.2,6.7,8.7,16.3,12.5,4.8,21.4
"Ames, IA",Iowa,2020,50.6,,,,,,,,,,,20.7
"Anchorage, AK",Alaska,2020,163.6,2.5,9.9,2.1,35,3.5,7.6,18.1,30.8,15.6,5.7,32.9
"Ann Arbor, MI",Michigan,2020,210.6,,4.5,12.7,25.1,6,6.5,29.1,27.8,13,5.5,80.4
"Anniston-Oxford, AL",Alabama,2020,45.3,,1.2,6.4,8.8,0.4,1.3,4,4.5,4.4,1.7,12.7
"Appleton, WI",Wisconsin,2020,121.5,,9,24,22.9,1.5,7,13.4,15.8,9.6,6.6,11.7
"Asheville, NC",North Carolina,2020,183.1,,9.4,20.9,34.6,1.7,6.3,17.7,35.2,23.1,9,25.3
"Athens-Clarke County, GA",Georgia,2020,92.1,,,,15.7,,,8.3,,9.4,,27.7
"Atlanta-Sandy Springs-Alpharetta, GA",Georgia,2020,2699.7,1.6,127.8,163.7,581.9,96.1,178.7,526.3,355.4,243.2,94,330.9
"Atlantic City-Hammonton, NJ",New Jersey,2020,112.2,,5.1,2.3,18.7,0.5,3.8,10.8,19.6,27.2,4.2,19.9
"Auburn-Opelika, AL",Alabama,2020,64.1,,2.8,6,12.3,0.5,1.9,6.9,4.6,7.7,2.4,18.9
"Augusta-Richmond County, GA-SC",Georgia,2020,234.8,,19.9,22.5,40,2.2,6.4,32,34.7,23.4,8,45.6
"Austin-Round Rock-Georgetown, TX",Texas,2020,1086.1,,69.6,62.8,185,39.5,68.1,199.3,126.1,106,41.8,187.9
"Bakersfield, CA",California,2020,259.5,7.9,15.3,12.4,52.1,1.5,7.3,26.5,41,22.8,7.3,65.4
"Baltimore-Columbia-Towson, MD",Maryland,2020,1333.2,,79.7,58.1,237.6,16.6,77.1,232.4,264.3,101.6,44.8,221.1
"Bangor, ME",Maine,2020,64,0.2,3.1,2.4,13.3,0.7,2.3,7.2,15.8,4.9,2,12.1
"Barnstable Town, MA",Massachusetts,2020,94.8,,6.9,3.3,19.5,1.2,3.6,9.1,17.7,14.6,3.9,14.8
"Baton Rouge, LA",Louisiana,2020,383.7,0.9,41.1,29.2,67.5,4.5,17.1,47.6,52.1,33.1,15,75.7
"Battle Creek, MI",Michigan,2020,52.4,,1.7,10.1,8.8,,1.1,5.2,9.8,3.7,1.8,10
"Bay City, MI",Michigan,2020,32.5,,1.3,4.5,6.8,0.3,1.3,2.5,6,3.6,1,5.3
"Beaumont-Port Arthur, TX",Texas,2020,154.2,,17.4,20.4,30.6,0.9,5.7,13.8,20.8,14.4,5.2,24.9
"Beckley, WV",West Virginia,2020,41.6,,,,,,,,,,,8.7
"Bellingham, WA",Washington,2020,89,,7.6,9.7,15.6,,4.1,8.1,,8.4,,17.1
"Bend, OR",Oregon,2020,83,,7.3,5.3,15.8,1.7,4.8,10.3,14.4,11.4,2.8,9.1
"Billings, MT",Montana,2020,83.7,,,,20.2,,,8.7,15.5,10.9,,9.6
"Binghamton, NY",New York,2020,93.1,,3.8,10.5,17.1,1.3,3.1,8,16.4,7.5,4.7,20.6
"Birmingham-Hoover, AL",Alabama,2020,520.4,2.5,28.8,37,104.6,7.5,42.5,67.5,72.7,43.8,28.9,84.6
"Bismarck, ND",North Dakota,2020,70.2,,4.5,1.8,13.7,0.7,3.4,7.4,14.1,6.5,2.8,15.4
"Blacksburg-Christiansburg, VA",Virginia,2020,74,,,,,,,,,,,24.3
"Bloomington, IL",Illinois,2020,87.5,,2.8,3.3,13.6,0.5,19.6,9.4,10.5,8.6,3.3,15.8
"Bloomington, IN",Indiana,2020,74.8,,3.2,9.5,9.5,0.9,3,5.3,10.8,7.1,2,23.5
"Bloomsburg-Berwick, PA",Pennsylvania,2020,40.7,,1.2,4.8,6.1,,,4.5,11.6,2.9,,5.7
"Boise City, ID",Idaho,2020,343.8,,28.6,28.5,66.6,3.6,20.3,52.9,51.8,32,12.1,47.5
"Boulder, CO",Colorado,2020,187.2,,5.6,20.2,24.9,8.5,7.2,38.1,24.7,15.9,5.8,36.5
"Bowling Green, KY",Kentucky,2020,71.7,,3.3,12.1,13.6,,,8.7,11,7.2,,11.3
"Bremerton-Silverdale-Port Orchard, WA",Washington,2020,90.8,,5.1,2.7,13.2,,,8.5,,8.1,,33.2
"Brownsville-Harlingen, TX",Texas,2020,140.2,,3.4,5.8,24.1,0.5,4.7,12.6,42.1,14.4,2.9,29.7
"Brunswick, GA",Georgia,2020,41.7,,,,8.4,,,,,,,8.6
"Buffalo-Cheektowaga, NY",New York,2020,509.3,,19.6,49.2,91.6,6,35.5,66.4,91.4,43,21.3,85.3
"Burlington, NC",North Carolina,2020,60.9,,3.2,8.4,12.7,0.3,2,5.5,12.7,7,2.4,6.6
"Burlington-South Burlington, VT",Vermont,2020,115.6,,5.5,12.1,20.4,2.2,4.6,14.6,21.6,9,3.7,21.8
"California-Lexington Park, MD",Maryland,2020,46.9,,,,,,,,,,,15.2
"Canton-Massillon, OH",Ohio,2020,162.5,,8.2,25.2,30.3,1.3,7.2,15.3,31.4,16.7,7.4,19.6
"Cape Coral-Fort Myers, FL",Florida,2020,267.2,,33.1,6.4,53.2,2.8,13.5,36.4,30.7,36.7,10.7,43.7
"Cape Girardeau, MO-IL",Missouri,2020,43.3,,,,,,,,,,,6.2
"Carbondale-Marion, IL",Illinois,2020,54.9,,,,,,,,,,,16.7
"Carson City, NV",Nevada,2020,29.5,,,2.5,4.3,,,2.2,,3,,9.2
"Casper, WY",Wyoming,2020,37,1.9,2.7,1.6,8.4,0.3,1.9,2.6,6.1,4.2,1.6,5.7
"Cedar Rapids, IA",Iowa,2020,136.8,,8,19.4,30.3,3.1,11.2,14.2,20.4,9.9,4.8,15.5
"Chambersburg-Waynesboro, PA",Pennsylvania,2020,58.2,,2.4,8.5,14.9,,,5.8,10.2,4.5,,7.7
"Champaign-Urbana, IL",Illinois,2020,112.4,,3.7,7.5,16.1,1.8,4.6,9.7,16.3,9.8,3.2,39.5
"Charleston, WV",West Virginia,2020,102,,5.8,3,16.6,1.4,6.7,12.8,20.7,8,3.6,23.5
"Charleston-North Charleston, SC",South Carolina,2020,354.1,,20.8,27.9,66.6,5.4,15.8,54.8,42,40.7,13.9,66
"Charlotte-Concord-Gastonia, NC-SC",North Carolina,2020,1190.7,,68.5,102.9,246.3,23.3,109.1,207.7,121.5,116.7,42.3,152.3
"Charlottesville, VA",Virginia,2020,112.8,,5.7,3.9,14.2,1.9,4.9,15.6,14.4,10.4,5.4,36.5
"Chattanooga, TN-GA",Tennessee,2020,256.7,,11.1,33,52.8,2.4,22.5,27.3,33.5,24.9,11.8,37.4
"Cheyenne, WY",Wyoming,2020,46.2,,3.8,1.3,9.9,0.8,2.3,3.8,4.6,4.5,1.5,13.8
"Chicago-Naperville-Elgin, IL-IN-WI",Illinois,2020,4404.7,1.7,168,398.4,907.6,73.5,315.2,782.5,699,358.9,177.3,522.6
"Chico, CA",California,2020,73.4,,4.2,4,13.6,0.7,3,5.4,17.5,7.1,3,14.9
"Cincinnati, OH-KY-IN",Ohio,2020,1054.7,,47.2,113.7,212.8,13,73.2,165.5,163.8,101.3,36.5,127.8
"Clarksville, TN-KY",Tennessee,2020,90.6,,3.4,11.2,18,1,3.1,9.1,12,10.9,3.2,18.6
"Cleveland, TN",Tennessee,2020,48,,2.1,8.5,11.6,0.2,1.3,6.3,5.8,4.6,2.2,5.4
"Cleveland-Elyria, OH",Ohio,2020,1004.5,,36.8,114.7,178.2,12.2,65.5,151.5,196.5,82.5,34.8,131.8
"Coeur d'Alene, ID",Idaho,2020,67.3,0.2,6.1,5,12.7,0.6,3.9,7.3,8.5,9.2,2.1,11.7
"College Station-Bryan, TX",Texas,2020,117.6,,7.1,5.5,16.4,1.3,3.8,10.2,12.1,14.1,3,44
"Colorado Springs, CO",Colorado,2020,289.5,,18.5,11.7,43.3,5.3,18.9,47.3,41.4,32.2,17.3,53.6
"Columbia, MO",South Carolina,2020,387,,16.9,31,71.5,4.9,32,49.9,48.6,33.6,15.2,83.3
"Columbia, SC",Missouri,2020,96,,,,15,,,,,,,28.6
"Columbus, GA-AL",Georgia,2020,117.5,,4.8,10.5,17.3,1.1,12.4,14.7,15.7,13.3,3.9,23.7
"Columbus, IN",Indiana,2020,49.5,,1.7,18.5,7.4,0.3,1.5,4.9,4.3,3.6,1.4,5.9
"Columbus, OH",Ohio,2020,1063.9,,43.9,70.4,215.2,15.3,85.6,174.5,155.6,87.6,37.8,177.8
"Corpus Christi, TX",Texas,2020,180.9,,19.8,8.1,32,1.5,8.2,17.5,31.4,22.5,5.7,34.3
"Corvallis, OR",Oregon,2020,39.7,,1.5,2.8,4.4,0.6,1.5,4.2,6.9,3.3,1.3,13.3
"Crestview-Fort Walton Beach-Destin, FL",Florida,2020,115.6,,6.9,3.4,20.3,1.3,7,18.5,12.2,20.4,4.7,20.9
"Cumberland, MD-WV",Maryland,2020,36,,,,,,,,,,,7.8
"Dallas-Fort Worth-Arlington, TX",Texas,2020,3666.2,,220,280.9,794.8,78.8,324.5,628.3,447.4,331.2,113.2,447.1
"Dalton, GA",Georgia,2020,63.7,,,21.7,13.3,,,6.9,,,,7
"Danville, IL",Illinois,2020,26,,0.6,4.6,6.5,0.1,1.1,2,2.6,1.9,1.1,5.5
"Daphne-Fairhope-Foley, AL",Alabama,2020,76.6,,,,,,,,,,,10.1
"Davenport-Moline-Rock Island, IA-IL",Illinois,2020,174.2,,9.4,22.6,36.1,1.4,7.2,23.6,25.9,15.8,7.5,24.7
"Dayton-Kettering, OH",Ohio,2020,370.5,,13.6,40.6,63.8,7,17.8,50.2,71.6,33.1,12.5,60.5
"Decatur, AL",Alabama,2020,56.5,,4.4,13.3,10.4,0.3,2.1,5.9,4.9,4.7,2.1,8.3
"Decatur, IL",Illinois,2020,47.1,,3.1,10.6,9.9,0.3,1.9,2.3,7.7,4,2.1,5.3
"Deltona-Daytona Beach-Ormond Beach, FL",Florida,2020,198.6,,14.2,10.7,38.1,2,9,23.5,39.6,27.8,8.1,25.7
"Denver-Aurora-Lakewood, CO",Colorado,2020,1458.5,,108.6,69,274.6,50.8,111.6,273,184.9,131,54,201.1
"Des Moines-West Des Moines, IA",Iowa,2020,356.9,,20.7,20.4,66.9,6.2,56.9,49.3,50.3,29.1,12.8,44.4
"Detroit-Warren-Dearborn, MI",Michigan,2020,1841,,72.7,225.7,352.5,25.7,121.8,361.1,292.1,144.6,63.8,181.1
"Dothan, AL",Alabama,2020,58,,2.6,5.2,15,0.4,2.1,4.9,8.7,5.9,2.6,10.6
"Dover, DE",Delaware,2020,67.1,,2.8,4.8,12.9,0.4,1.6,5.9,10.9,6.4,2.3,19.2
"Dubuque, IA",Iowa,2020,57.5,,,,12.1,,,,,,,4.6
"Duluth, MN-WI",Minnesota,2020,126.7,,8.9,7.7,23.3,1.1,5.2,7.5,31.3,11.5,5.5,24.7
"Durham-Chapel Hill, NC",North Carolina,2020,315.4,,9.2,32.8,38.5,5.5,16.1,46.1,70.9,21.3,10.9,64.1
"East Stroudsburg, PA",Pennsylvania,2020,53.4,,1.7,5,11.8,,,3.8,7.5,8.9,,11.1
"Eau Claire, WI",Wisconsin,2020,83.3,,3.6,10.6,17,0.7,3.8,9.1,15.8,7.2,4.2,11.2
"El Centro, CA",California,2020,50,,1.9,1.8,11.1,0.2,1.1,2.7,8.7,3.3,0.8,18.3
"Elizabethtown-Fort Knox, KY",Texas,2020,312.3,,17.5,16.7,65.5,4.5,13.4,36.2,47,32.4,8.1,71
"Elkhart-Goshen, IN",Kentucky,2020,52.3,,1.9,7.3,8.9,,,4.9,5,5.1,,14.7
"Elmira, NY",Indiana,2020,128.8,,4,61.7,19.5,0.4,3.1,9.3,11.5,6.6,4.2,8.5
"El Paso, TX",New York,2020,34.2,,1.4,4.7,7.5,0.4,1.1,1.9,6.6,2.9,1.2,6.4
"Enid, OK",Oklahoma,2020,24.2,,,,,,,,,,,3.7
"Erie, PA",Pennsylvania,2020,117.4,,3.9,18.4,19.5,0.9,6.5,9.1,28.6,10.7,4.9,15
"Eugene-Springfield, OR",Oregon,2020,151.7,0.8,7.4,13.8,28.7,2,8,17.4,27.9,13.8,4.8,27.1
"Evansville, IN-KY",Indiana,2020,150.5,,9.5,21.9,29.8,1.7,5.7,18.2,27.6,13.9,6.5,15.8
"Fairbanks, AK",Alaska,2020,35.2,0.8,2.6,0.5,7.1,0.3,1.1,2.6,5.4,3.5,1,10.2
"Fargo, ND-MN",North Dakota,2020,138.6,,8.8,9.9,29.6,3,11.7,13.7,27.2,11.6,4.8,18.3
"Farmington, NM",New Mexico,2020,42.8,,,,,,,,,,,10.4
"Fayetteville, NC",North Carolina,2020,125.6,,5,8.1,23,1,3.8,11.6,14.9,14.4,4.3,39.6
"Fayetteville-Springdale-Rogers, AR",Arkansas,2020,261.7,,13,30.7,56.4,2,8.6,50.6,29.6,23.6,9.6,37.6
"Flagstaff, AZ",Arizona,2020,62.9,,2.6,3.8,8.7,0.4,1.5,3.1,9.2,12.7,1.7,19.2
"Flint, MI",Michigan,2020,126.2,,5.3,12.3,26,1.1,5.9,16,24.9,12.4,4.7,17.7
"Florence, SC",South Carolina,2020,88.2,,,,18.5,,,,,,,17.3
"Florence-Muscle Shoals, AL",Alabama,2020,54.8,,3.9,8.1,11,0.4,2.3,4,7.2,5.8,2.3,9.9
"Fond du Lac, WI",Wisconsin,2020,46,,3.3,10.4,8.5,0.8,1.9,2.4,7.1,3.7,2.4,5.4
"Fort Collins, CO",Colorado,2020,165.6,,11.6,14,27.2,3.1,6.8,20.1,18.1,17.6,6.2,41
"Fort Smith, AR-OK",Arkansas,2020,109,,5.4,16.8,23,1.1,3.7,11.5,16.7,8.5,4.4,17.9
"Fort Wayne, IN",Indiana,2020,215.3,,11.6,34.5,43,2.1,12.1,21.2,41.7,18.4,10.4,20.3
"Fresno, CA",California,2020,348.9,0.3,18.6,25.8,70,3,13.5,33.8,72,28.6,11,72.5
"Gadsden, AL",Alabama,2020,33.9,,1.1,4.4,6.6,0.2,1.2,3.4,7.1,3.4,1.5,5.1
"Gainesville, FL",Florida,2020,141.9,,6.1,4.5,20.2,1.6,6.9,15.3,27.1,13.2,3.9,43.3
"Gainesville, GA",Georgia,2020,92,,,,17.6,,,,,,,10.7
"Gettysburg, PA",Pennsylvania,2020,32.4,,1.7,7.3,4.9,,,,6.6,3.7,,4.1
"Glens Falls, NY",New York,2020,49.8,,2.4,5.7,8.7,0.8,1.9,5,7.7,5.9,1.9,9.8
"Goldsboro, NC",North Carolina,2020,39.8,,,,,,,,,,,8.8
"Grand Forks, ND-MN",North Dakota,2020,50.8,,2.9,4.1,10.2,0.4,1.7,3.4,9.3,5,1.8,12.1
"Grand Island, NE",Nebraska,2020,40.3,,,,,,,,,,,6.3
"Grand Junction, CO",Colorado,2020,61.7,,5.7,3,12.9,0.5,3.1,4.9,11.7,6.8,2.5,10.6
"Grand Rapids-Kentwood, MI",Michigan,2020,521.8,,24.5,107.4,94.2,5.7,26.6,69.3,90.8,37.1,19.9,46.3
"Grants Pass, OR",Oregon,2020,26.5,0.1,1.2,2.9,5.3,0.3,1.6,2.1,5.6,3.1,0.9,3.4
"Great Falls, MT",Montana,2020,34.3,,,,7.4,,,3.2,7.3,4.2,,5.4
"Greeley, CO",Colorado,2020,105.5,,17.1,13.8,19.3,0.5,4.5,11,10.2,8.5,3.6,17.1
"Green Bay, WI",Wisconsin,2020,170.7,,8.3,30.3,32.7,1.4,11.9,19,26.3,13.3,8,19.5
"Greensboro-High Point, NC",North Carolina,2020,342.3,,15.8,50.1,76.1,4.4,18.4,44.8,49.6,30.1,11.4,41.7
"Greenville, NC",North Carolina,2020,78,,3.3,6.5,11.4,0.5,2.4,6.7,9.3,8.1,2.1,27.5
"Greenville-Anderson, SC",South Carolina,2020,409.6,,19.3,54.7,75.8,6.1,19.6,68.6,51.1,39.2,13.6,61.7
"Gulfport-Biloxi, MS",Mississippi,2020,149.9,,7.4,17.7,23.9,1.2,5.1,16.1,12.1,27.1,5,34.4
"Hagerstown-Martinsburg, MD-WV",Maryland,2020,99.1,,4,9.3,25.8,1.7,5.1,9.7,15.7,8.3,2.5,17
"Hammond, LA",Louisiana,2020,45,,,,,,,,,,,11.5
"Hanford-Corcoran, CA",California,2020,39.1,,0.9,4.6,6.7,0.1,0.9,1.2,6.5,3.4,0.6,14.3
"Harrisburg-Carlisle, PA",Pennsylvania,2020,330.5,,11.6,21.3,72.2,3.1,21.1,48,58.8,23.6,13.9,56.9
"Harrisonburg, VA",Virginia,2020,66,,,,13.1,,,,,,,12.1
"Hartford-East Hartford-Middletown, CT",Connecticut,2020,546.1,,19.1,56.5,85.8,9.2,54.9,70,105.8,35.4,20.1,89.3
"Hattiesburg, MS",Mississippi,2020,63,,,4.6,13,,,,,7.3,,14.1
"Hickory-Lenoir-Morganton, NC",North Carolina,2020,147.9,,4.7,38.9,30.2,0.7,3.2,13,18.5,12.4,4.4,21.9
"Hilton Head Island-Bluffton, SC",South Carolina,2020,79.7,,,,,,,,,,,11.7
"Hinesville, GA",Georgia,2020,20.5,,,,,,,,,,,7.9
"Homosassa Springs, FL",Florida,2020,31.9,,,,,,,,,,,4.3
"Hot Springs, AR",Arkansas,2020,37.6,,,,,,,,,,,4.2
"Houma-Thibodaux, LA",Louisiana,2020,81.9,5.2,4.3,,21.8,,,,,7.4,,10.8
"Houston-The Woodlands-Sugar Land, TX",Texas,2020,2990.9,68.6,215.5,218.7,612.2,29.4,164.5,487.4,395.4,281.8,104.2,413.3
"Huntington-Ashland, WV-KY-OH",West Virginia,2020,127.9,,7.3,10.4,25.1,1.1,4.3,12.6,28.1,12.4,4,22.6
"Huntsville, AL",Alabama,2020,240.9,,9.7,26.2,34.4,2.2,7.1,60.8,21.4,19.3,8.2,51.7
"Idaho Falls, ID",Idaho,2020,71.2,,4.6,4.8,14.3,0.6,2.6,15.5,12,6.4,2.1,8.4
"Indianapolis-Carmel-Anderson, IN",Indiana,2020,1044.6,0.7,55.3,89.8,224.5,12.1,70.8,165.6,160.4,90.6,39.8,135
"Iowa City, IA",Iowa,2020,95.5,,,,16,,,6,,7.9,,39.3
"Ithaca, NY",New York,2020,58,,1.2,2.4,5.4,0.5,1.6,3.5,30.7,3.1,1.6,8.1
"Jackson, MI",Mississippi,2020,264.7,0.8,10.5,18.6,50.3,3.2,15,33.4,42,22.9,12.6,55.4
"Jackson, MS",Michigan,2020,53.9,,2,8.8,11.8,0.2,2.2,5,10,4.1,2.2,7.7
"Jackson, TN",Tennessee,2020,67.3,,3.1,10.6,11.8,0.5,2.1,6.6,11,5.6,2.1,14
"Jacksonville, FL",Florida,2020,704.3,0.4,46,32.5,153.7,9,68,108.9,109.9,73.6,25,77.5
"Jacksonville, NC",North Carolina,2020,48.6,,,,,,,,,,,14.1
"Janesville-Beloit, WI",Wisconsin,2020,66.3,,3.5,10.3,16,1.1,1.8,6,10.4,6,3.2,8.2
"Jefferson City, MO",Missouri,2020,76.3,,,,13.4,,,,,,,24.2
"Johnson City, TN",Tennessee,2020,78.7,,2.5,7.9,13.6,1.1,4.6,8.3,13.7,8.3,2.7,16.1
"Johnstown, PA",Pennsylvania,2020,49.3,,1.7,3.9,9.6,0.7,2.4,4.5,13.1,3.6,2.5,7.2
"Jonesboro, AR",Arkansas,2020,58.2,,,,,,,,,,,8.6
"Joplin, MO",Missouri,2020,76.7,,,13.1,18.9,,,,13.2,,,9.1
"Kahului-Wailuku-Lahaina, HI",Hawaii,2020,60.8,,4.2,1,12.9,0.4,2.4,5.5,8.8,14.2,2.7,8.8
"Kalamazoo-Portage, MI",Michigan,2020,138.9,,6.4,21.6,25.2,0.8,7.8,15.7,24.5,12.6,4.8,19.5
"Kankakee, IL",Illinois,2020,42.9,,1.3,7.2,9,0.3,1.4,5.1,8.2,3.4,1.5,5.5
"Kansas City, MO-KS",Missouri,2020,1050.4,,52.6,78.7,210.3,15,79.4,182.6,154.8,90.6,40.4,146.1
"Kennewick-Richland, WA",Washington,2020,113.4,,10.3,8.3,19.3,0.7,4.1,21.2,18,9.6,3.6,18.3
"Killeen-Temple, TX",Texas,2020,141.7,,6.9,7.5,27.2,1.1,6.1,12.3,23.5,14.5,4.6,38
"Kingsport-Bristol, TN-VA",Tennessee,2020,115.8,,5.3,19.9,22.9,1.1,3.6,13.4,17.2,11.4,5.3,15.7
"Kingston, NY",New York,2020,56,,2.6,3.1,10.8,0.8,2.2,4.4,9.7,6.2,2.4,13.7
"Knoxville, TN",Tennessee,2020,394.6,,18.5,40.9,78,5.7,19.3,65.2,54.9,38.5,15.8,57.9
"Kokomo, IN",Indiana,2020,37.5,,1.3,10.9,6.3,0.2,1.2,,,3.8,1.8,4.4
"La Crosse-Onalaska, WI-MN",Wisconsin,2020,73.9,,3,8.2,15.2,0.8,4.2,5.6,17,6.5,4.3,9.1
"Lafayette, LA",Louisiana,2020,191,10.8,9.3,14.5,39.7,2.1,10.4,21.1,31.8,18.5,6.6,26.2
"Lafayette-West Lafayette, IN",Indiana,2020,98.8,,3.8,18.5,13.9,0.6,3.2,7.1,13.2,8.8,4.1,25.5
"Lake Charles, LA",Louisiana,2020,96.3,0.3,15,10.5,16.2,,,9.1,,11.5,,14.3
"Lake Havasu City-Kingman, AZ",Arizona,2020,51.2,,3.7,3,12.7,0.5,1.9,3.9,8.9,6.8,1.8,8
"Lakeland-Winter Haven, FL",Florida,2020,237.4,,15,17.9,65.3,1.8,14.1,32.5,34.7,21.2,6.3,28.7
