Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Wausau-Weston, WI",Wisconsin,2018,73.3,,2.6,18.2,14.1,0.4,5.4,6.4,9.8,6,3.2,7.5
"Weirton-Steubenville, WV-OH",Ohio,2018,40.4,,1.6,5.3,8.4,,,2.1,9,4.6,,6.3
"Wenatchee, WA",Washington,2018,46.2,,3,2.5,10,,,,7.6,6.8,,9.5
"Wheeling, WV-OH",West Virginia,2018,67.3,,,2.9,,,,,12.7,,,9.7
"Wichita, KS",Texas,2018,59.4,,3,5.3,11.1,0.7,2.5,4.7,10.7,6.6,2.3,12.4
"Wichita Falls, TX",Kansas,2018,299.5,,16.6,52.4,50.7,4.2,11.4,34.7,45,32.6,10.4,41.6
"Williamsport, PA",Pennsylvania,2018,53.7,,,7.8,10.2,,,,10.1,4.5,,7.3
"Wilmington, NC",North Carolina,2018,128.2,,8.8,5.8,25,3.2,6,16,15.3,19.8,4.6,23.7
"Winchester, VA-WV",Virginia,2018,64.6,,,,13.3,,,,,,,9.9
"Winston-Salem, NC",North Carolina,2018,267.8,,10.7,32.6,48.7,1.7,13.3,36.6,55.4,28.7,8.8,31.2
"Yakima, WA",Washington,2018,86.8,,4.2,8.9,19.3,,,4.3,17.8,8.2,,18.2
"York-Hanover, PA",Pennsylvania,2018,187.1,,11.9,31.1,38.3,1.1,5.3,23.6,29.2,16.4,10.3,20
"Youngstown-Warren-Boardman, OH-PA",Ohio,2018,219.9,,9.6,27.6,45.6,1.9,7.2,20.4,43.9,24.7,9.6,29.5
"Yuba City, CA",California,2018,44.4,,2.6,2.2,9.1,0.3,1.4,3.2,8.4,4.6,1.1,11.5
"Yuma, AZ",Arizona,2018,56,,2.6,2.7,11,0.5,2,7,8,6,1.8,14.4
"Bridgeport-Stamford-Norwalk, CT",Connecticut,2018,487.7,,12.6,28.9,86.7,12.1,38.8,75.8,76.6,51.5,17.8,54
"Boston-Cambridge-Newton, MA-NH",Massachusetts,2018,2827.7,,119.8,192.8,435,81.2,188.1,510.1,587.2,283,106.1,324.5
"Providence-Warwick, RI-MA",Rhode Island,2018,663.4,0.2,26.9,58,113.9,7.6,39.9,80.5,144.1,76.5,29.8,86.1
"New Haven-Milford, CT",Connecticut,2018,359.7,,13.8,31.4,65,5.1,14.2,36.7,101.3,31.8,14,46.4
"Worcester, MA-CT",Massachusetts,2018,342.4,,13.5,34.7,63.9,4,16.3,33.4,79.5,31.6,12.6,52.9
"Abilene, TX",Texas,2019,72.4,,5.3,3.2,13.7,1.1,4.1,6,15.3,8,2.9,12.8
"Akron, OH",Ohio,2019,340.6,,15,39.7,67.3,4.8,15.5,50,56.2,34.4,13.3,44.4
"Albany, GA",Oregon,2019,46.9,0.4,3.3,8.7,10.3,0.4,1.5,3.2,7,3.8,1.5,6.9
"Albany-Lebanon, OR",Georgia,2019,62.8,,,,12.6,,,,,,,12.3
"Albany-Schenectady-Troy, NY",New York,2019,472,,20.2,26.2,74.3,8.1,27,56.8,96.4,41,19.3,102.8
"Albuquerque, NM",New Mexico,2019,398.7,,24.6,16.7,63.2,6.1,19.4,64.1,65.9,44.7,12.2,81.8
"Alexandria, LA",Louisiana,2019,62.1,,,,11.1,,,,,,,13.8
"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,2019,380.8,,13.7,39.8,87,5.4,13.9,49.1,79.3,38,14.6,40.2
"Altoona, PA",Pennsylvania,2019,61.3,,3,7.2,14.3,0.8,1.5,5.3,13,5.6,2.7,7.9
"Amarillo, TX",Texas,2019,121.6,,7.7,13.9,25.9,1.3,6.7,8.9,16.6,14.1,5,21.7
"Ames, IA",Iowa,2019,53,,,,,,,,,,,21
"Anchorage, AK",Alaska,2019,176.7,2.7,10.3,2.4,37.7,3.8,8,19.2,31.8,20.7,6.3,33.7
"Ann Arbor, MI",Michigan,2019,229,,4.9,14.6,27.1,5.9,6.8,30.6,29.9,18.4,6.4,84.4
"Anniston-Oxford, AL",Alabama,2019,47.3,,1.2,6.6,9,0.4,1.3,4.2,4.8,5.1,1.8,13
"Appleton, WI",Wisconsin,2019,127.4,,9.1,24.7,24.1,1.5,7,13.4,15.7,12.1,7.4,12.5
"Asheville, NC",North Carolina,2019,198.7,,10.1,22.3,36.7,1.9,6.4,18.3,37.6,30.3,9.5,25.7
"Athens-Clarke County, GA",Georgia,2019,97.8,,,,16.5,,,8.7,,11.5,,28.6
"Atlanta-Sandy Springs-Alpharetta, GA",Georgia,2019,2850.4,1.6,130.5,171.7,605.2,102.2,177.4,548.2,369,304.7,104.6,335.4
"Atlantic City-Hammonton, NJ",New Jersey,2019,133.3,,5.6,2.4,20.4,0.6,3.9,11.1,21.6,41.5,5.5,20.8
"Auburn-Opelika, AL",Alabama,2019,67.3,,2.7,6.3,12.5,0.5,1.9,7.2,5,9.1,2.7,19.5
"Augusta-Richmond County, GA-SC",Georgia,2019,243.3,,20.1,23.1,40.5,2.4,6.8,32.9,35.4,27.4,8.7,45.9
"Austin-Round Rock-Georgetown, TX",Texas,2019,1118,,68.5,62.7,185.1,39,66,198,129.8,134.9,47.2,186.7
"Bakersfield, CA",California,2019,273.4,9.6,16.3,12.9,52.9,1.9,7.5,28,40.9,27.6,8.3,67.6
"Baltimore-Columbia-Towson, MD",Maryland,2019,1427.5,,81.8,59.5,247.8,17.4,79.4,244.9,280.4,139,51.6,225.7
"Bangor, ME",Maine,2019,68.2,0.2,3.3,2.6,13.9,0.8,2.3,6.8,16.4,6.9,2.2,12.9
"Barnstable Town, MA",Massachusetts,2019,107.2,,7.2,3.4,21.5,1.4,3.9,9.6,19.9,19.8,4.7,15.9
"Baton Rouge, LA",Louisiana,2019,413,1,49.8,30.2,71.1,5.1,18.5,49.3,54.5,40.2,17,76.4
"Battle Creek, MI",Michigan,2019,57.7,,1.7,11.4,9,,1.2,6.2,10.7,4.6,2,10.6
"Bay City, MI",Michigan,2019,35.2,,1.4,4.6,7.3,0.3,1.3,2.4,6.5,4.5,1.3,5.7
"Beaumont-Port Arthur, TX",Texas,2019,165,,20.9,22.2,31.7,1,5.7,14.6,21.6,16.3,5.7,25.2
"Beckley, WV",West Virginia,2019,44.6,,,,,,,,,,,8.7
